"shapeid","x","y"
"15","103.752837934","1.34154127129"
"15","103.752996794","1.34133981445"
"16","103.750670369","1.343723608"
"16","103.750670343","1.34361942283"
"16","103.75067375","1.34357606867"
"16","103.750686162","1.34353443129"
"16","103.750706146","1.34349625878"
"16","103.750734559","1.34346357605"
"16","103.750761993","1.34343470066"
"16","103.75042987","1.34311182251"
"16","103.750154276","1.34326778867"
"16","103.750321353","1.34357075617"
"16","103.750321464","1.34399858674"
"16","103.750670369","1.343723608"
"17","103.750321464","1.34399858674"
"17","103.750321353","1.34357075617"
"17","103.750154276","1.34326778867"
"17","103.749811227","1.3434619347"
"17","103.749935175","1.34368770427"
"17","103.749935286","1.34412001716"
"17","103.750164587","1.34411995522"
"17","103.750183481","1.34410733411"
"17","103.750321464","1.34399858674"
"18","103.750164587","1.34411995522"
"18","103.749935286","1.34412001716"
"18","103.74962079","1.34412008773"
"18","103.749571774","1.34412458072"
"18","103.749563516","1.34412534915"
"18","103.74950811","1.34414089324"
"18","103.749456388","1.34416621363"
"18","103.749410048","1.3442005055"
"18","103.749271873","1.34432443469"
"18","103.74924106","1.34434234906"
"18","103.749206376","1.34434819005"
"18","103.749172527","1.34433825896"
"18","103.749145176","1.34431580267"
"18","103.749246144","1.34443450388"
"18","103.74934304","1.34454853843"
"18","103.749330964","1.34451825992"
"18","103.749329698","1.3444865348"
