FacilityID,FacilityRa,Name,IncidentCu,FacilityCu,IncidentID,Total_Leng,Shape_Leng
57,1,- Location 57,2,1,9437,5799.520016574724,5799.527178526571
57,1,- Location 57,2,1,9438,7067.20384639559,7067.212548081559
57,1,- Location 57,2,2,9439,1284.6169979819515,1284.6186464950601
57,1,- Location 57,2,1,9440,1382.0057448712903,1382.0075574607151
57,1,- Location 57,1,1,9441,1702.317079589931,1702.3192230616928
57,1,- Location 57,2,1,9442,1948.69208823671,1948.6945954389496
57,1,- Location 57,1,1,9443,2805.217489861036,2805.2209994963873
57,1,- Location 57,1,1,9444,2845.1452454293785,2845.148799496101
57,1,- Location 57,1,1,9445,3164.413304548409,3164.417236745602
57,1,- Location 57,2,1,9446,3275.1588181211114,3275.1629753006205
64,1,- Location 64,2,1,9449,845.9365882114716,845.9375515967623
64,1,- Location 64,1,1,9450,909.3097615131794,909.3109090646557
64,1,- Location 64,2,1,9451,870.356374491969,870.357362018789
57,1,- Location 57,1,1,9452,1593.0092649978972,1593.0112779370113
57,1,- Location 57,2,1,9453,2673.2361367294234,2673.2394994966257
57,1,- Location 57,1,1,9454,2760.627141997401,2760.630584243697
57,1,- Location 57,1,1,9455,3120.5463211386896,3120.5502565497773
57,1,- Location 57,2,1,9457,5304.077267564419,5304.08390746816
57,1,- Location 57,1,1,9458,5460.383392632369,5460.390221066144
57,1,- Location 57,2,1,9459,5508.418220516391,5508.425080363709
64,1,- Location 64,1,1,9468,922.7987579255807,922.7998447180477
64,1,- Location 64,2,1,9469,949.3896640407099,949.3907248190582
64,1,- Location 64,1,1,9471,851.7444857488148,851.7454601673121
57,1,THE JADE - Location 57,2,1,9472,1921.0838084777274,1921.0861891288102
57,1,- Location 57,1,1,9473,2216.7467777823667,2216.749629862109
57,1,- Location 57,2,1,9474,3070.5690480624194,3070.5728222090606
57,1,- Location 57,1,1,9475,3256.903900205069,3256.907955184853
57,1,- Location 57,2,1,9476,3323.9372006456547,3323.9412762096663
57,1,- Location 57,1,1,9477,3303.5523026451956,3303.556353464777
57,1,- Location 57,2,1,9478,3452.17783525285,3452.1820259862798
57,1,- Location 57,1,1,9479,3398.302200807604,3398.306338679328
57,1,- Location 57,1,1,9480,5191.530456516007,5191.536982269044
64,1,- Location 64,1,1,9484,905.5572109490664,905.558225090465
64,1,- Location 64,2,1,9485,909.2493035085527,909.2503638882689
64,1,- Location 64,2,1,9486,962.402764845727,962.4038557695068
57,1,- Location 57,2,1,9487,1722.7409768389894,1722.743168686142
57,1,- Location 57,1,1,9488,2230.2205565573813,2230.223320498991
57,1,- Location 57,2,1,9490,3735.5941147649305,3735.5988046777193
57,1,- Location 57,1,1,9505,3411.8887406333874,3411.8929021948343
57,1,- Location 57,1,1,9506,3458.955880054416,3458.9600771477008
57,1,- Location 57,2,1,9507,3461.9392358811083,3461.943471557292
57,1,PAVILION PARK - Location 57,2,1,9510,4079.8190574402183,4079.82418567611
57,1,PAVILION PARK - Location 57,2,1,9511,3996.345947523739,3996.3510052955794
57,1,PAVILION PARK - Location 57,2,1,9512,3999.4377761642395,3999.4428764452464
57,1,PAVILION PARK - Location 57,2,1,9513,3957.8187524645878,3957.8237966887486
57,1,PAVILION PARK - Location 57,2,1,9514,3952.744997134059,3952.750067366166
57,1,- Location 57,1,1,9515,5038.305027121077,5038.311365758023
57,1,- Location 57,2,1,9516,5031.503719382726,5031.510002269114
57,1,- Location 57,2,1,9517,5164.492904296264,5164.499313512588
57,1,- Location 57,1,1,9532,2914.4318875653084,2914.4352354326397
57,1,- Location 57,2,1,9533,2918.0332019591738,2918.0365170216846
57,1,- Location 57,1,1,9534,3371.821405040031,3371.8255445661125
57,1,- Location 57,1,1,9535,3495.358752122888,3495.362975963769
57,1,- Location 57,1,1,9536,3575.3265055973097,3575.330811645043
57,1,PAVILION PARK - Location 57,2,1,9537,4135.538721478484,4135.543881168352
57,1,PAVILION PARK - Location 57,2,1,9538,4147.171072532349,4147.1763052257165
57,1,PAVILION PARK - Location 57,2,1,9539,4152.886620642732,4152.891823249975
57,1,PAVILION PARK - Location 57,1,1,9540,3978.184015800311,3978.189077275824
57,1,PAVILION PARK - Location 57,1,1,9541,4045.4397876644884,4045.4448792120725
57,1,PAVILION PARK - Location 57,2,1,9542,4040.1871097722255,4040.192201894203
57,1,- Location 57,1,1,9543,3954.2095584596796,3954.2145813506945
57,1,- Location 57,2,1,9544,3949.294432649314,3949.299392034849
57,1,- Location 57,1,1,9545,4825.978883043605,4825.984953701596
57,1,- Location 57,1,1,9546,4950.625518155607,4950.631685412011
57,1,- Location 57,2,1,9547,4926.26122482472,4926.2673719809445
57,1,- Location 57,2,1,9548,4894.905450337912,4894.911542985572
57,1,- Location 57,2,1,9549,4997.76864180515,4997.774932017322
57,1,- Location 57,2,1,9566,2072.1720181818596,2072.1745657343718
57,1,- Location 57,2,1,9567,2913.7858054291432,2913.7891735223275
57,1,GUILIN VIEW - Location 57,1,1,9568,2945.5647275450347,2945.568145809544
57,1,- Location 57,2,1,9569,3886.7406615780606,3886.745467027323
57,1,- Location 57,1,1,9570,3901.1953663133913,3901.2001872263277
57,1,PAVILION PARK - Location 57,2,1,9571,4188.876400468125,4188.881706763749
57,1,PAVILION PARK - Location 57,2,1,9572,4192.587596669118,4192.592857432892
57,1,PAVILION PARK - Location 57,1,1,9573,4192.587596669118,4192.592857432892
57,1,PAVILION PARK - Location 57,1,1,9574,4192.587596669118,4192.592857432892
57,1,PAVILION PARK - Location 57,1,1,9575,4192.587596669118,4192.592857432892
57,1,PAVILION PARK - Location 57,1,1,9576,4116.894661662718,4116.8998148118035
57,1,PAVILION PARK - Location 57,2,1,9577,4055.231754427045,4055.2368345949662
57,1,PAVILION PARK - Location 57,2,1,9578,4137.396174963581,4137.401368795074
57,1,PAVILION PARK - Location 57,1,1,9579,4139.663924834005,4139.669130814648
57,1,PAVILION PARK - Location 57,2,1,9580,4139.663924834005,4139.669130814648
57,1,- Location 57,1,1,9581,4122.661369661853,4122.66655643356
57,1,- Location 57,2,1,9582,4042.694516774716,4042.699632652254
57,1,- Location 57,2,1,9583,4045.892984546111,4045.8981056447456
57,1,- Location 57,1,1,9584,4095.3959542316784,4095.4011293139333
57,1,- Location 57,2,1,9585,4825.741202976957,4825.747234769536
57,1,- Location 57,1,1,9586,4799.685383298411,4799.6913891568
57,1,- Location 57,1,1,9587,4766.686569402283,4766.692556361071
57,1,- Location 57,2,1,9623,2184.985064938323,2184.9876905298734
57,1,- Location 57,1,1,9624,2249.6629713909083,2249.6656706399635
57,1,GUILIN VIEW - Location 57,1,1,9625,2973.4523834875936,2973.4558315657127
57,1,- Location 57,2,1,9626,3977.4329689908877,3977.437880793875
57,1,PAVILION PARK - Location 57,1,1,9627,4192.587596669118,4192.592857432892
57,1,PAVILION PARK - Location 57,1,1,9628,4192.587596669118,4192.592857432892
57,1,PAVILION PARK - Location 57,1,1,9629,4192.587596669118,4192.592857432892
57,1,PAVILION PARK - Location 57,1,1,9630,4192.587596669118,4192.592857432892
57,1,PAVILION PARK - Location 57,2,1,9631,4149.459423377458,4149.464585158548
57,1,PAVILION PARK - Location 57,2,1,9632,4149.752618242961,4149.757832967744
57,1,PAVILION PARK - Location 57,2,1,9633,4152.638556535204,4152.643810751192
57,1,PAVILION PARK - Location 57,2,1,9634,4157.297557275897,4157.302782437027
57,1,PAVILION PARK - Location 57,2,1,9635,4169.616024462088,4169.621255680926
57,1,PAVILION PARK - Location 57,2,1,9636,4181.042617879973,4181.047854532892
57,1,PAVILION PARK - Location 57,2,1,9637,4184.161950319975,4184.167212166728
57,1,PAVILION PARK - Location 57,2,1,9638,4191.868771077966,4191.873981537156
57,1,PAVILION PARK - Location 57,2,1,9639,4196.134742461535,4196.140042223284
57,1,PAVILION PARK - Location 57,2,1,9640,4201.926585747141,4201.931802912554
57,1,- Location 57,1,1,9641,4149.338691947759,4149.343904556011
57,1,- Location 57,1,1,9642,4180.974355432912,4180.979601108024
57,1,- Location 57,1,1,9643,4225.378006749926,4225.38330077072
57,1,- Location 57,2,1,9644,4173.526747912246,4173.531999942745
57,1,- Location 57,1,1,9645,4179.3126964365865,4179.317899946647
57,1,- Location 57,1,1,9646,4773.5641086182695,4773.5701553367135
57,1,- Location 57,2,1,9660,2325.575204735848,2325.578005268857
57,1,PAVILION PARK - Location 57,1,1,9661,4221.412233697055,4221.417490507951
57,1,PAVILION PARK - Location 57,1,1,9662,4250.125956421823,4250.131265994565
57,1,- Location 57,2,1,9663,4849.107671272987,4849.1137471950515
57,1,- Location 57,1,1,9664,4759.537334898404,4759.543273150826
57,1,- Location 57,2,1,9665,5120.893817618916,5120.900136666284
57,1,- Location 57,2,1,9666,5138.574401964275,5138.580749147424
57,1,- Location 57,2,1,9667,5338.925778936139,5338.932333760807
57,1,- Location 57,1,1,9678,2371.7261189305773,2371.7289236649626
57,1,- Location 57,2,1,9679,2414.9427528536025,2414.9455902556933
57,1,- Location 57,2,1,9680,2587.0860542230835,2587.089068645178
57,1,- Location 57,2,1,9714,2430.443241339652,2430.445978332665
57,1,- Location 57,1,1,9715,4820.304283770247,4820.310292517052
57,1,- Location 57,1,1,9751,2452.827465171177,2452.8302441351057
57,1,- Location 57,1,1,9752,2762.2649942889097,2762.2681688340226
57,1,- Location 57,1,1,9753,2732.792895318139,2732.7960386146974
57,1,- Location 57,2,1,9754,5380.744834712199,5380.751316556376
57,1,- Location 57,2,1,9823,2561.9108177919243,2561.9136665447595
57,1,PHOENIX HEIGHTS - Location 57,2,1,9831,5273.085723948606,5273.092190644855
57,1,- Location 57,1,1,9832,5063.222530014161,5063.228768795173
57,1,- Location 57,2,1,9833,5135.3971880209365,5135.403491122322
57,1,- Location 57,1,1,9834,5069.155202642323,5069.161423747878
57,1,- Location 57,2,1,9835,5131.651634735705,5131.657935950054
57,1,- Location 57,1,1,9914,5448.936665337382,5448.943268266692
57,1,- Location 57,1,1,9917,5401.832457791831,5401.839021286226
57,1,- Location 57,1,1,9918,5271.34826259279,5271.354698199712
57,1,- Location 57,1,1,9919,5229.616600361915,5229.622949952323
57,1,- Location 57,2,1,9920,5353.3791849853405,5353.385667032194
57,1,- Location 57,1,1,9921,5202.364589096368,5202.370984042274
57,1,- Location 57,2,1,9922,5202.56581173547,5202.572193285412
57,1,- Location 57,1,1,9923,5272.519868970134,5272.526265156606
57,1,NICON GARDENS - Location 57,2,1,9924,5285.290675990591,5285.297110745682
57,1,- Location 57,1,1,9925,5172.683975957086,5172.69031460771
57,1,NICON GARDENS - Location 57,2,1,9926,5195.487953844886,5195.4943438491255
57,1,NICON GARDENS - Location 57,1,1,9927,5198.658955095612,5198.665302332084
57,1,NICON GARDENS - Location 57,1,1,9928,5191.620114924593,5191.6264769573845
57,1,NICON GARDENS - Location 57,2,1,9929,4991.483585347916,4991.4897617379265
57,1,NICON GARDENS - Location 57,1,1,9930,5118.183507367004,5118.189800404292
57,1,HILLVIEW VILLAS - Location 57,2,1,9972,3272.5214777721367,3272.525068597234
57,1,- Location 57,1,1,9984,5331.008848450891,5331.015295438623
57,1,- Location 57,1,1,9985,5319.236729060792,5319.24321735864
57,1,- Location 57,1,1,9986,5312.839184991697,5312.845607035722
57,1,- Location 57,1,1,9987,5365.994512194028,5366.000982496032
57,1,- Location 57,2,1,9988,5179.487381922432,5179.493711248376
57,1,- Location 57,1,1,9989,5252.043799799265,5252.0502241161885
57,1,NICON GARDENS - Location 57,1,1,9990,5188.287021444386,5188.293335669027
57,1,- Location 57,2,1,10045,5351.039493281398,5351.046011768535
57,1,- Location 57,1,1,10046,5341.399555781848,5341.4060268210715
57,1,- Location 57,1,1,10047,5359.898392808902,5359.904923828173
57,1,- Location 57,1,1,10048,5366.086912651556,5366.093360403348
57,1,- Location 57,2,1,10049,5403.766511496683,5403.77302508278
57,1,- Location 57,1,1,10050,5414.210553084953,5414.217082696699
57,1,- Location 57,2,1,10051,5410.012210644008,5410.01877439108
